Debt_to_Equity,Net_Profit_Margin,Return_on_Assets,Current_Ratio,Quick_Ratio,Interest_Coverage,Inventory_Turnover,Asset_Turnover,FCF_Margin,OCF_Margin,SP_Rating
1.46,0.2616,0.294,1.07,0.92,41.42,31.81,1.12,0.2771,0.302,AA+
0.08,0.155,0.159,1.73,1.13,65.08,5.98,1.02,0.045,0.137,BBB
0.73,0.0239,0.061,0.83,0.2,8.86,8.79,2.56,0.0237,0.055,AA
0.37,0.3627,0.193,1.22,1.02,42.96,29.97,0.53,0.2964,0.451,AAA
0.67,0.0529,0.062,1.05,0.84,12.8,9,1.18,0.064,0.148,AA
0.33,-0.2057,-0.058,3.74,2.13,-7.02,2.22,0.28,-0.1807,0.158,BBB-
0.2,0.2434,0.0507,1.51,0.86,11.83,2.82,0.24,0.2802,0.393,A-
1.09,0.2089,0.091,1.43,1.06,8.32,3.95,0.44,0.2737,0.295,BBB+
0.15,0.314,0.179,2.44,1.96,66.47,7.53,0.57,0.2189,0.469,A-
1.06,0.0523,0.045,1.15,0.86,5.3,31.37,0.87,0.0534,0.099,A
0.43,0.4128,0.195,1.16,0.82,48.78,2.48,0.47,0.2143,0.268,AAA
3.49,0.0247,0.016,1.2,1.01,4.06,10.77,0.66,0.0379,0.085,BBB-
1.42,0.0502,0.05,1.31,1.17,11.2,52.43,1,0.0381,0.104,BBB
1.34,0.1503,0.045,1.24,1.03,4.21,15.75,0.3,0.0754,0.262,BBB+
0.2,0.1045,0.097,1.48,1.07,61.59,10.45,0.93,0.0971,0.161,AA-
0.13,0.1063,0.083,1.28,0.9,63.99,17.59,0.78,0.1018,0.177,AA-
5.73,0.0895,0.036,0.87,0.63,4.71,5.32,0.4,0.4062,0.420,A-
0.75,0.1399,0.062,1.76,1.16,5.57,4.8,0.45,0.1637,0.196,A-
1.94,0.1541,0.12,1.35,1.14,26.67,2.76,0.78,0.1577,0.192,A
0.34,0.1985,0.055,1.68,1.18,20.53,3.68,0.28,0.2425,0.300,A-
0.32,0.2703,0.235,2.71,1.72,34.86,2.4,0.87,0.2910,0.331,A
0.85,0.1014,0.141,2.74,1.67,-44.74,3.46,1.39,0.1201,0.137,AA-
1.29,0.1543,0.092,1.27,0.84,10.34,3.93,0.6,0.1185,0.146,A
0.49,0.13,0.046,2.3,1.46,8.82,2.01,0.36,0.1526,0.200,A
0.47,0.1103,0.046,1.32,0.63,8.49,2,0.42,0.1282,0.176,BBB+
1.3,0.117,0.148,0.7,0.48,0.1107,6.2,1.27,0.1226,0.185,BBB+
0.7,0.1377,0.069,0.62,0.33,21.95,6.36,0.5,0.1005,0.131,BBB
0.1,0.3014,0.126,5.69,4.82,58.52,0.73,0.42,0.2954,0.350,BBB+
1.04,0.0233,0.034,0.86,0.59,5.19,16.35,1.45,0.0291,0.038,BBB
1.94,0.2798,0.193,1.91,1.13,11.51,1.4,0.69,0.3280,0.360,A-
3.18,0.1036,0.104,0.83,0.41,8.45,4.96,1,0.1142,0.153,BBB
2.71,0.1836,0.189,1.33,0.9,15.37,4.95,1.03,0.1927,0.220,A+
14.04,0.1182,0.142,1.11,0.54,14.95,4.06,1.2,0.1562,0.193,A+
0.56,0.089,0.036,2.42,1.23,9,2.27,0.44,0.0298,0.231,BB+
0.89,0.35,0.1,1.67,0.6,1.35,2.57,0.32,0.1579,0.181,BBB-
0.525,0.693,0.260,1.116,0.623,385.600,3.695,0.375,0.016,0.040,A
0.25,0.4885,0.557,4.17,3.38,132.59,3.18,1.14,0.4435,0.461,A+
1.05,0.2265,0.12,2.74,0.91,11,0.71,0.53,0.0890,0.139,A-
-3.04,-0.0286,-0.016,1.14,0.29,0.19,0.89,0.57,0.0573,0.076,BBB-
10.53,0.057,0.041,1.19,1.09,3.29,65.97,0.72,0.1228,0.170,BB
3.5,0.571,0.022,1.02,1,27.06,11.56,0.04,0.6054,0.618,AA-
0.43,0.2648,0.17,2.71,1.57,34.88,2.34,0.64,0.0536,0.24,BB+
2.29,0.2645,0.096,0.81,0.62,7.14,8.7,0.36,0.1979,0.347429519,A-
1.54,0.26,0.043,0.55,0.26,3.5,5.02,0.17,0.0624,0.401992174,A-
0.19,0.2546,0.194,1.24,0.94,36.43,2.81,0.76,0.3049,0.33007335,BBB+
0.23,0.2528,0.135,0.88,0.66,41.83,20.92,0.54,0.1911,0.436466942,BBB
1.5,0.1159,0.035,0.71,0.33,3.78,18.91,0.3,0.1671,0.312913502,BBB
0.38,0.1871,0.118,1.43,1.21,21.88,24.26,0.63,0.1488,0.340959536,A-
0.47,0.0336,0.015,0.84,0.69,5.05,30.87,0.44,0.0893,0.146503261,A-
1.66,0.0144,0.043,0.81,0.25,7.42,15.91,2.97,0.0199,0.045254599,BBB
0.83,-0.2054,-0.094,1.67,0.85,-4.87,2.94,0.46,-0.1312,-0.103907638,BB
0.73,-0.2236,-0.076,1.68,0.65,-5.64,2.74,0.34,0.0839,0.12543554,BBB-
1.93,0.1216,0.085,3.51,2.36,6.93,1.43,0.7,0.0215,0.085705882,B+
0.63,0.1598,0.172,2.38,1.09,19.47,9.87,1.07,0.1621,0.206163656,A-
0.43,0.1814,0.11,1.93,1.21,16.89,1.95,0.61,0.2222,0.256554307,BBB
0.86,0.1881,0.074,1.81,1.52,16.21,12.83,0.39,-0.1710,0.250402576,A
1.17,0.1668,0.16,0.97,0.41,15.31,4.91,0.96,0.1390,0.207885305,A
1.22,0.047,0.08,1.17,0.49,12.81,5.15,1.7,0.0354,0.056715488,BBB-
1.01,0.1335,0.106,1.25,0.72,12.2,3.96,0.8,0.1245,0.146768894,A
0.36,0.2241,0.05,0.5,0.39,11.68,16.27,0.22,0.3119,0.330097087,BBB+
8.27,0.0707,0.027,1.57,1.23,3.82,63.89,0.38,0.1376,0.166460396,B+
2.31,0.0918,0.018,0.83,0.67,1.24,18.83,0.2,-0.2033,0.194433074,BB
1.35,0.1783,0.086,1.43,1.04,16.21,4.28,0.48,0.2811,0.307931571,A
50.04,0.0992,0.1990,1.35,0.32,12.29,4.44,2.00,0.1175,0.138679103,A
0.45,0.0273,0.0990,0.93,0.38,54.08,13.15,3.61,0.0249,0.042792612,A+
0.13,0.1063,0.0830,1.28,0.90,63.99,17.59,0.78,0.1018,0.177204166,AA-
0.49,0.1887,0.0780,0.80,0.60,41.07,8.55,0.41,0.1680,0.283222743,A
0.38,0.1427,0.0780,1.64,1.00,11.46,2.82,0.55,0.1261,0.181031689,AA-
0.67,0.2139,0.1550,2.56,1.70,12.28,2.45,0.72,0.2730,0.307312906,A
2.66,0.1213,0.0570,0.96,0.80,6.40,20.32,0.47,0.2011,0.225202069,A-
0.76,0.0464,0.0200,1.04,0.37,3.43,5.08,0.43,0.0793,0.11437899,BBB+
0.51,0.1387,0.0870,1.51,0.91,26.31,4.12,0.63,0.1269,0.156233833,A-
1.17,0.0644,0.1110,1.60,1.08,24.81,14.17,1.72,0.0816,0.093921108,BBB
1.04,0.1328,0.0880,0.90,0.44,6.85,4.14,0.66,0.1442,0.164217489,BBB+
0.59,0.1268,0.0920,1.32,0.88,11.36,6.34,0.73,0.1219,0.200301796,A
0.52,0.1536,0.1230,2.17,1.36,18.47,3.98,0.80,0.1720,0.20141461,BBB+
1.35,0.2743,0.1680,3.36,1.77,13.30,1.04,0.61,0.1902,0.27539794,BBB
0.64,0.0625,0.0230,1.08,0.46,4.24,3.31,0.37,0.1359,0.176020932,BBB
0.63,0.0468,0.0920,1.26,0.95,11.31,38.41,1.96,0.0308,0.046894389,BBB+
0.68,0.1145,0.1080,1.14,0.67,11.76,5.70,0.94,0.1187,0.135176721,BBB+
0.23,0.2528,0.1350,0.88,0.66,41.83,20.92,0.54,0.1911,0.436318562,BBB
1.07,0.0896,0.0640,1.30,0.86,6.85,5.57,0.71,0.1075,0.157426143,A-
0.53,0.6933,0.2600,1.12,0.62,385.60,3.69,0.38,0.0159,0.039851656,A
0.69,0.1305,0.0520,0.92,0.51,7.80,9.43,0.40,0.2097,0.425617263,BB+
0.90,0.1310,0.1220,2.09,1.66,12.42,11.26,0.93,0.0833,0.119280106,A+
8.87,0.1713,0.1360,1.00,0.60,10.91,5.32,0.79,0.1795,0.204850671,BBB
1.29,0.2107,0.1170,1.91,1.26,11.74,2.92,0.55,0.2024,0.264612835,BBB+
1.34,0.1503,0.0450,1.24,1.03,4.21,15.75,0.30,0.0754,0.261516946,BBB+
0.10,0.2335,0.1540,3.38,2.08,91.97,1.35,0.66,0.1070,0.149180655,BBB
1.89,0.0583,0.0370,1.08,0.83,12.73,9.60,0.63,0.0544,0.121797931,BBB
1.69,0.0610,0.0480,2.73,1.81,10.45,6.47,0.79,0.0968,0.117974477,BBB
1.07,0.1298,0.0600,1.05,0.92,5.42,18.13,0.47,-0.0156,0.370314702,BBB-
1.24,0.1586,0.0630,1.05,0.29,5.35,2.58,0.40,0.1610,0.287473015,BBB
5.24,0.0069,0.0300,0.88,0.48,11.55,14.81,4.40,0.0134,0.015046836,BBB+
0.88,0.1110,0.2280,2.88,1.56,27.09,4.42,2.05,0.0962,0.123255249,A+
1.32,0.1504,0.0780,0.90,0.59,5.04,17.76,0.52,0.1599,0.250098999,BBB
0.40,0.1072,0.0320,0.99,0.44,4.99,4.88,0.29,0.1112,0.149249249,BBB
8.73,0.0863,0.1010,0.82,0.47,8.57,6.34,1.17,0.1359,0.173364006,A
1.08,0.1812,0.0360,0.54,0.31,3.72,22.83,0.20,-0.1303,0.371889952,BBB+
1.73,0.1163,0.0230,0.53,0.26,2.25,7.53,0.20,-0.1328,0.26404598,BBB+
1.18,0.0920,0.1330,1.77,1.20,-14.06,7.02,1.45,0.0860,0.123398797,BBB+
0.32,0.2069,0.1510,1.86,1.00,33.31,3.79,0.73,0.1607,0.204068897,A-
0.64,0.0785,0.0490,0.97,0.63,6.65,6.08,0.62,0.0663,0.084678773,BBB+
1.53,0.1691,0.0950,0.81,0.71,6.06,38.99,0.56,0.1582,0.328216578,BB+
0.33,-0.2111,-0.0590,1.25,0.74,-7.10,1.67,0.28,0.0082,0.233914663,BBB+
0.33,0.1303,0.1340,3.57,2.20,-197.60,4.88,1.03,0.1415,0.204875072,A-
1.61,0.1385,0.0190,1.04,0.14,2.53,5.03,0.14,-0.2545,0.456610852,BBB+
1.06,0.1608,0.0350,0.50,0.33,2.75,14.25,0.22,0.2544,0.415162219,BBB
0.38,0.1991,0.0980,0.98,0.49,20.64,3.87,0.49,0.2425,0.263045195,BBB+
0.76,0.0216,0.0230,1.18,0.65,5.06,4.58,1.07,0.0808,0.116424483,A
0.41,0.1835,0.1150,2.68,1.88,15.48,3.11,0.62,0.2448,0.291165553,BBB+
1.33,0.1266,0.0820,0.66,0.33,7.84,6.75,0.65,0.1174,0.15815459,BBB
1.71,0.1071,0.0240,0.81,0.45,2.56,18.26,0.22,-0.1245,0.216458784,BBB+
0.74,0.1077,0.0560,1.12,0.63,9.76,3.34,0.52,0.1761,0.205128205,A
0.59,0.1725,0.0780,3.35,1.74,9.84,5.11,0.45,0.1296,0.225520864,BBB+
0.71,0.0357,0.0490,1.47,1.09,6.16,128.67,1.39,0.0546,0.075468655,BBB-
0.28,0.1132,0.0510,2.22,1.55,7.50,3.94,0.45,0.1861,0.20031704,BBB-
4.68,0.1221,0.0510,0.19,0.10,2.21,32.94,0.42,0.0427,0.322086331,BB+
0.94,0.1146,0.1090,2.06,1.27,9.45,6.07,0.95,0.0988,0.150230255,BBB+
0.53,0.2456,0.1570,1.07,0.83,15.90,32.61,0.64,0.1719,0.428889763,BBB
1.33,0.2281,0.0510,0.67,0.35,5.12,6.46,0.23,0.0461,0.338702501,BBB+
1.18,0.1718,0.0390,1.01,0.74,3.94,15.11,0.23,-0.1594,0.147036759,A-
1.01,0.1335,0.1060,1.25,0.72,12.20,3.96,0.80,0.1245,0.146881949,A
0.22,0.0827,0.0430,1.76,1.20,13.96,5.12,0.53,0.0770,0.113661054,BBB
1.56,0.1247,0.0280,0.72,0.41,2.54,10.87,0.23,-0.0371,0.374982402,BBB+
0.62,0.1517,0.0950,1.65,0.77,6.23,3.52,0.63,0.1337,0.150858813,BBB-
